Company,Date,Open,High,Low,Close,Adj Close,Volume
Capital One,2019-11-13,96.370003,96.889999,95.870003,96.309998,93.418045,1267800
Capital One,2019-11-14,96.110001,96.870003,96.019997,96.639999,93.738136,1368400
Capital One,2019-11-15,97.309998,97.629997,96.860001,97.379997,94.45591,1758300
Capital One,2019-11-18,97.43,97.43,96.82,97.199997,94.281334,2575500
Capital One,2019-11-19,97.599998,97.690002,96.709999,97.07,94.155235,1769300
Capital One,2019-11-20,96.5,97.349998,95.93,96.510002,93.612038,2526900
Capital One,2019-11-21,96.910004,97.209999,96,96.769997,93.864227,1646600
Capital One,2019-11-22,97.25,98.330002,96.919998,98.099998,95.154289,2515200
Capital One,2019-11-25,98.279999,99.989998,98.239998,99.860001,96.86145,2201000
Capital One,2019-11-26,99.540001,99.809998,98.360001,99.220001,96.240669,2553700
Capital One,2019-11-27,99.129997,100.290001,99.129997,100.25,97.239746,1402800
Capital One,2019-11-29,99.830002,100.349998,99.519997,100.010002,97.00695,1115500
Capital One,2019-12-02,100.330002,100.639999,99.099998,99.230003,96.250381,1750200
Capital One,2019-12-03,98.099998,98.349998,96.629997,98.169998,95.222198,2905500
Capital One,2019-12-04,98.110001,99.489998,98.019997,99.25,96.269768,2046800
Capital One,2019-12-05,99.5,100.25,99.139999,99.57,96.580162,1795800
Capital One,2019-12-06,100.849998,101.839996,100.650002,101.379997,98.335815,1996400
Capital One,2019-12-09,101.389999,102.559998,101.25,102.209999,99.140884,2036800
Capital One,2019-12-10,102.019997,102.57,101.800003,102.419998,99.344574,3155100
Capital One,2019-12-11,102.5,102.900002,101.279999,101.43,98.384308,1990800
Capital One,2019-12-12,101.349998,104.540001,101.309998,104.029999,100.906235,2237200
Capital One,2019-12-13,103.910004,104.949997,102.959999,104.370003,101.236031,1858500
Capital One,2019-12-16,105,105.699997,103.330002,103.330002,100.227257,2756900
Capital One,2019-12-17,103.900002,104.629997,103.550003,104.339996,101.206932,1655800
Capital One,2019-12-18,104.599998,104.599998,103.839996,104.18,101.051743,2300700
Capital One,2019-12-19,104.080002,104.339996,103.129997,103.379997,100.275749,2134500
Capital One,2019-12-20,104.089996,104.489998,103.190002,103.370003,100.266068,3070000
Capital One,2019-12-23,103.370003,103.370003,102.470001,102.93,99.839272,1333800
Capital One,2019-12-24,103.059998,103.25,102.529999,102.949997,99.858665,326200
Capital One,2019-12-26,103.160004,103.510002,102.879997,103.480003,100.372765,1124300
Capital One,2019-12-27,103.629997,103.739998,102.790001,103,99.907158,840300
Capital One,2019-12-30,103.389999,103.449997,102.489998,102.639999,99.557976,961100
Capital One,2019-12-31,102.459999,103.059998,102.379997,102.910004,99.81987,1472800
Capital One,2020-01-02,103.410004,103.620003,102.300003,103.610001,100.498856,1603000
Capital One,2020-01-03,101.980003,102.519997,101.32,102,98.937202,1450100
Capital One,2020-01-06,100.879997,101.129997,100.059998,101.080002,98.044815,1526300
Capital One,2020-01-07,100.199997,100.699997,99.830002,100.080002,97.074844,1978200
Capital One,2020-01-08,100.510002,101.550003,100.269997,101.139999,98.10302,2194600
Capital One,2020-01-09,101.989998,102.779999,101.419998,102.510002,99.431885,1825500
Capital One,2020-01-10,102.449997,102.620003,101.160004,101.550003,98.500702,1167900
Capital One,2020-01-13,101.690002,102.050003,101.300003,101.910004,98.849899,1159900
Capital One,2020-01-14,101.900002,103.57,101.860001,102.559998,99.480377,2251900
Capital One,2020-01-15,101.779999,102.82,101.449997,102.339996,99.266968,1745400
Capital One,2020-01-16,102.989998,103.480003,102.32,102.919998,99.829567,4126500
Capital One,2020-01-17,103.099998,104.470001,103.010002,104.129997,101.00322,2680100
