Company,Date,Open,High,Low,Close,Adj Close,Volume
JP Morgan,2019-11-13,128.130005,128.820007,127.419998,128.479996,120.940666,8023300
JP Morgan,2019-11-14,127.720001,128.839996,127.589996,128.600006,121.053627,8483400
JP Morgan,2019-11-15,129.229996,129.529999,128.399994,129.529999,121.929062,10163600
JP Morgan,2019-11-18,129.559998,130.649994,128.990005,130.619995,122.955093,8749300
JP Morgan,2019-11-19,130.990005,131.25,130.179993,130.580002,122.917427,8824500
JP Morgan,2019-11-20,130.300003,130.619995,128.940002,129.630005,122.023193,11782800
JP Morgan,2019-11-21,130,130.720001,129.389999,129.929993,122.305565,7705500
JP Morgan,2019-11-22,130.149994,131.220001,130.100006,130.789993,123.115089,8167900
JP Morgan,2019-11-25,131.25,132.070007,130.869995,131.490005,123.774055,10068500
JP Morgan,2019-11-26,131.820007,131.820007,130.360001,131.669998,123.943489,10490700
JP Morgan,2019-11-27,132.289993,132.429993,131.649994,132.059998,124.3106,6607900
JP Morgan,2019-11-29,131.869995,132.410004,131.449997,131.759995,124.028183,5712000
JP Morgan,2019-12-02,132.309998,132.740005,131.350006,131.470001,123.755203,8615600
JP Morgan,2019-12-03,129.770004,129.960007,128.589996,129.779999,122.164383,10361300
JP Morgan,2019-12-04,130.380005,132.470001,129.990005,132.339996,124.574173,10318200
JP Morgan,2019-12-05,132.679993,133.309998,132.179993,133.059998,125.251907,9587400
JP Morgan,2019-12-06,134.690002,135.779999,134.649994,135.039993,127.115723,10170600
JP Morgan,2019-12-09,134.630005,135.460007,134.410004,134.410004,126.522682,8498200
JP Morgan,2019-12-10,133.25,134.770004,132.880005,134.5,126.607422,7532900
JP Morgan,2019-12-11,134.289993,135.020004,134.009995,134.179993,126.306175,9011900
JP Morgan,2019-12-12,134.490005,138.470001,134.210007,138.020004,129.920853,13717400
JP Morgan,2019-12-13,137.949997,138.830002,136.220001,136.809998,128.78186,10592100
JP Morgan,2019-12-16,138.380005,138.839996,137.320007,137.339996,129.280746,11372000
JP Morgan,2019-12-17,137.729996,138.669998,137.229996,138.179993,130.071457,11546800
JP Morgan,2019-12-18,138.149994,139.020004,137.720001,138.039993,129.939667,10381500
JP Morgan,2019-12-19,137.759995,138.220001,137.100006,137.350006,129.290161,9350400
JP Morgan,2019-12-20,138.020004,138.880005,136.899994,137.240005,129.18663,29992600
JP Morgan,2019-12-23,137.600006,137.910004,136.880005,137.199997,129.148987,9738400
JP Morgan,2019-12-24,137.330002,137.630005,137.059998,137.580002,129.506668,3324300
JP Morgan,2019-12-26,137.889999,139.100006,137.779999,139.039993,130.880981,6770900
JP Morgan,2019-12-27,139.300003,139.770004,138.669998,139.139999,130.975128,7868200
JP Morgan,2019-12-30,139.899994,140.080002,138.470001,138.630005,130.495056,6963000
JP Morgan,2019-12-31,138.509995,139.479996,138.289993,139.399994,131.219879,7201600
JP Morgan,2020-01-02,139.789993,141.100006,139.259995,141.089996,132.810699,10803700
JP Morgan,2020-01-03,137.5,139.229996,137.080002,138.339996,131.058075,10386800
JP Morgan,2020-01-06,136.559998,138.270004,136.5,138.229996,130.953857,10259000
JP Morgan,2020-01-07,137.279999,137.860001,135.820007,135.880005,128.727585,10531300
JP Morgan,2020-01-08,135.699997,137.580002,135.600006,136.940002,129.73175,9695300
JP Morgan,2020-01-09,138.050003,138.229996,137.039993,137.440002,130.20546,9469000
JP Morgan,2020-01-10,137.210007,137.25,135.809998,136.070007,128.907578,10190900
JP Morgan,2020-01-13,136.190002,137.199997,135.759995,137.199997,129.978088,12355200
JP Morgan,2020-01-14,137.940002,140.759995,137.690002,138.800003,131.493881,24906000
JP Morgan,2020-01-15,137.850006,138.600006,136.149994,136.720001,129.523361,16293400
JP Morgan,2020-01-16,137.449997,137.899994,136.839996,137.25,130.025452,10783800
JP Morgan,2020-01-17,137.539993,138.289993,137.320007,138.199997,130.925446,14697700
JP Morgan,2020-01-21,137.190002,138.070007,136.690002,136.839996,129.637009,8474200
JP Morgan,2020-01-22,137.240005,137.399994,136.380005,136.679993,129.485458,7549100
JP Morgan,2020-01-23,135.710007,136.740005,134.720001,136.539993,129.352829,9345700
JP Morgan,2020-01-24,136.369995,136.429993,132.320007,133.149994,126.141258,15166400
JP Morgan,2020-01-27,130.270004,132.940002,129.710007,132.029999,125.080215,12860500
JP Morgan,2020-01-28,132.839996,134.970001,132.479996,134.429993,127.353897,13062800
JP Morgan,2020-01-29,134.809998,135.539993,133.690002,134.229996,127.164421,9326000
JP Morgan,2020-01-30,132.690002,136.130005,132.690002,135.889999,128.737045,9048900
